TimeCode,Ion1,Ion2,Ion3,Ion4,Ion5,Ion6,Ion7,Ion8,Ion9,Ion10,Ion11,Ion12,Ion13,Ion14,Ion15,Ion16,Ion17,Ion18,Ion19,Ion20,Ion21,Ion22,Ion23,Ion24
1/1/20 4:37,1,2,3,4,5,6,0.653715276,1.659610745,2.629762661,3.629464987,4.622955023,5.654095355,79.64983385,87.68370058,88.44312676,93.35114787,89.81463944,93.6806617,0.063103141,1.139299822,2.092696706,3.188539472,4.104447158,5.139366036
1/1/20 4:38,1.627481437,2.073368254,3.33218549,4.863184994,5.56336649,6.371204861,0.665316777,1.673892816,2.635162836,3.645984511,4.660819776,5.680291211,78.72936056,86.73889788,87.94903194,92.41532617,89.02443507,93.42428373,0.074516098,1.175983849,2.137716179,3.207999219,4.139624479,5.153740034
1/1/20 4:39,1.668022041,2.519307275,4.229063911,5.095124932,5.59098886,6.886071394,0.666785774,1.705542299,2.661318708,3.648452305,4.691793902,5.68447255,78.71474583,85.95717561,87.65297117,92.26609201,88.77033499,92.63687012,0.104105868,1.222465222,2.14560506,3.231477819,4.180459565,5.201187618
1/1/20 4:40,1.814343515,2.572619968,4.287605767,5.849044773,6.005460468,6.90529097,0.706455984,1.711093589,2.698697867,3.680772849,4.70793047,5.708794516,78.62704658,85.473346,87.12597597,91.37631021,88.7005945,92.33442987,0.10599486,1.267906862,2.164680232,3.246627289,4.216051686,5.245917278
1/1/20 4:41,2.278739251,3.048756372,4.866370044,6.53943541,6.012860513,7.459245627,0.746291154,1.719303113,2.721630049,3.713300461,4.71825866,5.731952633,77.68846331,85.37877125,86.47842696,90.39186978,88.11352227,91.75459496,0.132957193,1.307449934,2.19406049,3.292119928,4.244267751,5.28924597
1/1/20 4:42,3.032056117,3.559853518,5.088411854,7.131233675,6.278521583,7.694844831,0.775641672,1.752572076,2.727633197,3.722101942,4.733795661,5.741367883,76.9117841,84.79018904,85.56759664,89.97483715,87.68299434,90.8397558,0.142280623,1.310139807,2.239847526,3.30429541,4.263432512,5.307531668
1/1/20 4:43,3.492670399,3.620044173,5.659335406,7.615989883,6.939598303,8.033818329,0.797325481,1.7819691,2.738489718,3.73272475,4.770710259,5.771321242,76.03998123,84.00492774,85.47104817,89.94984783,87.52331632,90.41375947,0.176018361,1.336782999,2.283202682,3.346618001,4.273108762,5.340258819
1/1/20 4:44,4.025585018,4.2727224,6.496143582,8.012339923,7.084700994,8.839534098,0.799553638,1.798859412,2.767091757,3.763782934,4.802402012,5.778316421,75.938516,83.45162793,84.65324481,88.98856005,87.23057794,90.15427193,0.213325816,1.343125332,2.331412317,3.394656695,4.311717433,5.341120885
1/1/20 4:45,4.250694795,4.872461664,6.959687584,8.099916676,7.321381376,9.061828301,0.825031161,1.809044666,2.791509363,3.778617055,4.815072401,5.790105053,75.07030998,82.51632462,84.24092242,88.10080937,86.99963313,89.19903459,0.243152138,1.382012013,2.358392466,3.414285452,4.323082859,5.377595806
1/1/20 4:46,4.533479859,5.53784997,7.111935451,8.690422607,7.999264555,10.02081514,0.845059129,1.820903364,2.796020779,3.781354387,4.845339053,5.821048911,74.80542769,82.17753478,83.33590841,87.58693312,86.9625413,88.64650426,0.290275972,1.40802623,2.373667558,3.417149175,4.334153242,5.403998368
1/1/20 4:47,4.599460712,5.630184972,7.245543384,9.019458617,8.837754305,10.68324717,0.847640739,1.832529858,2.83072829,3.806734818,4.853556898,5.859483685,74.60005727,81.54717841,82.47796896,87.51672342,86.16181967,87.89786834,0.338341468,1.456387988,2.413696931,3.460394386,4.366820067,5.435315051
1/1/20 4:48,5.564422463,6.275363582,7.539340258,9.551546057,8.879053923,11.43235533,0.885510265,1.851878788,2.847613263,3.823179541,4.865293453,5.873196621,74.36792394,80.61501893,82.0519744,87.07893806,85.74574704,87.02882624,0.387717001,1.463981129,2.447399845,3.474255294,4.386521542,5.471238292
1/1/20 4:49,5.920401575,7.154365196,8.318841819,9.628169736,9.852043913,11.51574954,0.888193202,1.875010346,2.883846496,3.851459465,4.903629584,5.89112254,74.26928096,80.23925002,81.54165192,86.68860563,84.76278855,86.15741654,0.430032224,1.498453442,2.460378823,3.505175494,4.407203722,5.514525699
1/1/20 4:50,6.142006043,7.260922223,8.976370542,10.19877754,10.77220034,11.8721538,0.909807693,1.892331035,2.912469965,3.889474523,4.919370961,5.915169244,74.16080602,79.30420405,81.45175737,86.12779038,84.05565868,85.2683387,0.447593724,1.546757177,2.464328784,3.522771051,4.427708285,5.516910379
1/1/20 4:51,7.078274445,7.930843718,8.989260136,10.98955009,10.84874164,11.98764421,0.930139732,1.899203138,2.944457727,3.923432439,4.940601398,5.936158819,74.03570043,78.69965042,81.20677717,85.95826203,83.28516538,84.94929031,0.474894182,1.555628362,2.508678617,3.527686085,4.428875299,5.523099939
1/1/20 4:52,7.428631292,8.159642456,9.378542213,11.26780923,11.79875287,12.95246533,0.953251634,1.899581177,2.979833796,3.950620856,4.963300168,5.952370202,73.39412978,77.92566443,81.05290937,85.13387111,82.47701784,84.67917165,0.486666235,1.596205537,2.52044519,3.561867531,4.47076752,5.538544841
1/1/20 4:53,8.33611726,8.951596422,10.3048625,11.64998828,12.26938736,13.5796123,0.95541074,1.925869964,2.983588573,3.963415837,4.972220136,5.970321076,72.95358547,77.43289792,80.08349411,84.84996782,81.59974366,84.27982547,0.529659485,1.620643159,2.523552928,3.58702125,4.511004817,5.587057296
1/1/20 4:54,9.221283939,8.985170435,11.23747778,11.73434186,12.48383913,13.5915815,0.99384004,1.963288624,2.988915496,3.977193391,4.992513753,5.994369801,72.41261322,76.9662388,79.100702,84.42370768,81.22589478,83.89573937,0.569198213,1.661760079,2.541825098,3.623511693,4.556586372,5.604126106
1/1/20 4:55,9.523597014,9.327782145,11.75906134,11.94987917,12.96217813,14.217772,1,2,3,4,5,6,71.81121864,76.78084617,78.56594499,83.65352665,80.65777171,83.31159564,0.578331564,1.701847758,2.591104746,3.668790002,4.556874824,5.619201193
1/1/20 4:56,9.84688869,9.363287001,11.83050929,12.55863791,13.86811042,14.40920334,1.627481437,2.073368254,3.33218549,4.863184994,5.56336649,6.371204861,71.24170742,75.94586803,77.91185221,83.46286109,80.07638335,82.34277561,0.61658139,1.728248958,2.604212469,3.673209577,4.564498445,5.627882442
1/1/20 4:57,10.44503592,10.12460466,11.99639448,13.39910749,14.6835312,14.95999435,1.668022041,2.519307275,4.229063911,5.095124932,5.59098886,6.886071394,70.34029455,75.57003897,77.6183389,83.28187209,79.61082301,81.93134261,0.658067075,1.735793581,2.653939459,3.686320458,4.579889241,5.671119949
1/1/20 4:58,10.68050046,10.60925661,12.72561199,14.15860678,14.84093492,15.03787733,1.814343515,2.572619968,4.287605767,5.849044773,6.005460468,6.90529097,69.83553236,74.7066033,76.68475909,82.44234731,79.46856134,81.17270273,0.685922187,1.77973472,2.702389731,3.706203013,4.606403147,5.714083752
1/1/20 4:59,10.932859,11.44137602,13.14006805,14.59881765,15.65579916,15.7334259,2.278739251,3.048756372,4.866370044,6.53943541,6.012860513,7.459245627,69.53544887,74.0938546,76.57774742,81.78910124,79.27552925,80.63709163,0.715893814,1.794276948,2.711328194,3.721211103,4.642237793,5.718476656
1/1/20 5:00,11.10555014,12.31898772,13.54104313,14.80593051,16.32654304,16.52151262,3.032056117,3.559853518,5.088411854,7.131233675,6.278521583,7.694844831,68.63318414,73.33416707,76.21080623,80.99856502,79.19189758,80.52753438,0.725080571,1.820081835,2.748861561,3.737133694,4.684657901,5.754774825
1/1/20 5:01,12.01668047,12.86710203,14.23366882,15.75300839,17.05313983,17.1228049,3.492670399,3.620044173,5.659335406,7.615989883,6.939598303,8.033818329,67.73275419,73.1102652,76.19761983,80.25559329,79.02864544,79.55498265,0.735658144,1.822256293,2.798455262,3.754559621,4.703859705,5.777196239
